batch_key,batch_number,batch_system_id,product_key,site_key,batch_type,manufacturing_date,expiry_date,retest_date,batch_size,batch_size_unit,yield_pct,batch_status,disposition_date,packaging_configuration,is_active,load_timestamp
30488997233289580,B2022-000001,ERP-828284,1033742650064444382,587823240306444353,VALIDATION,2022-03-22,2025-03-21,,253707.0536,kg,85.2525,RELEASED,2022-03-26,LDPE bag,True,2026-02-28T20:37:29.873485
1076641169446756885,B2021-000002,ERP-574105,118698352974645666,327217897043323182,COMMERCIAL,2021-09-20,2023-09-20,,317309.2611,units,97.6262,RELEASED,2021-10-17,LDPE bag,True,2026-02-28T20:37:29.873501
199967592316832228,B2023-000003,ERP-380033,672607827146275495,878250793116557982,EXHIBIT,2023-04-08,2027-04-07,,17332.4072,units,89.3897,QUARANTINE,2023-04-16,PVC/Alu blister,True,2026-02-28T20:37:29.873514
703858072622947267,B2020-000004,ERP-566133,706233336820182304,721739277798666228,DEVELOPMENT,2020-03-29,2024-03-28,,11941.6782,L,95.1045,PENDING,,LDPE bag,True,2026-02-28T20:37:29.873523
983601797378782793,B2024-000005,ERP-373899,486891240366752372,687171029622168373,REGISTRATION,2024-09-28,2029-09-27,,493446.5129,kg,95.1206,QUARANTINE,2024-10-05,Prefilled syringe,True,2026-02-28T20:37:29.873533
157426825841784851,B2022-000006,ERP-850320,985192406521430610,667669419394748145,PILOT,2022-05-31,2026-05-30,2023-05-31,109021.1526,doses,99.7489,RELEASED,2022-06-08,Alu/Alu blister,True,2026-02-28T20:37:29.873546
671594144352049190,B2023-000007,ERP-109143,478480075230804039,123897802993369418,DEVELOPMENT,2023-08-13,2025-08-12,,218793.3005,units,92.7426,RELEASED,2023-08-19,PVC/Alu blister,True,2026-02-28T20:37:29.873556
364981036782214938,B2021-000008,ERP-563278,143197858100002084,172384463309089249,DEVELOPMENT,2021-09-16,2025-09-15,,233506.0084,doses,88.8896,RELEASED,2021-10-12,Alu/Alu blister,True,2026-02-28T20:37:29.873582
593112557856233150,B2024-000009,ERP-394951,134476742966328584,54631159255259265,EXHIBIT,2024-08-28,2029-08-27,,306054.9207,units,96.6963,RELEASED,2024-09-13,Alu/Alu blister,True,2026-02-28T20:37:29.873593
312883936791634869,B2023-000010,ERP-849838,685300539326985015,547473128815303591,COMMERCIAL,2023-02-23,2027-02-22,,468551.4382,doses,89.9574,PENDING,,HDPE bottle,True,2026-02-28T20:37:29.873603
678042203314719233,B2021-000011,ERP-686038,825938087699059259,1063877619515961722,EXHIBIT,2021-10-27,2024-10-26,,425021.4817,units,101.6381,RELEASED,2021-11-06,Glass vial,True,2026-02-28T20:37:29.873613
511356043969079041,B2023-000012,ERP-245998,347139486853339936,612600359045210181,EXHIBIT,2023-06-17,2025-06-16,2026-06-16,171442.0166,L,93.327,PENDING,2023-07-07,Prefilled syringe,True,2026-02-28T20:37:29.873627
279114523695974493,B2024-000013,ERP-599063,532929015975460461,172384463309089249,COMMERCIAL,2024-05-01,2029-04-30,,446304.4334,units,100.0934,PENDING,2024-05-02,Alu/Alu blister,True,2026-02-28T20:37:29.873636
172846344313524479,B2025-000014,ERP-752794,398011804291381525,1130895423210570657,VALIDATION,2025-02-17,2027-02-17,,494386.7841,units,98.2621,QUARANTINE,2025-03-08,LDPE bag,True,2026-02-28T20:37:29.873649
136760191308798622,B2023-000015,ERP-851214,1140615337798351531,1011726151622241361,COMMERCIAL,2023-08-03,2028-08-01,,319462.2133,doses,101.0348,RELEASED,,LDPE bag,True,2026-02-28T20:37:29.873658
412025868148072925,B2026-000016,ERP-617672,361495400661923030,212293228681572212,PILOT,2026-01-22,2031-01-21,,193240.5857,L,96.3911,QUARANTINE,2026-02-15,PVC/Alu blister,True,2026-02-28T20:37:29.873667
239808064206095583,B2023-000017,ERP-871661,1071798534101913772,652713864818073742,REGISTRATION,2023-09-15,2027-09-14,,468493.7318,doses,92.1755,RELEASED,2023-10-12,Prefilled syringe,True,2026-02-28T20:37:29.873676
320739154996852544,B2026-000018,ERP-839811,143197858100002084,317572024261877103,PILOT,2026-07-10,2028-07-09,,446820.0304,kg,86.1692,PENDING,2026-08-06,Amber glass bottle,True,2026-02-28T20:37:29.873689
475662903696551042,B2023-000019,ERP-847660,118754325017438117,192968342959973654,DEVELOPMENT,2023-03-24,2026-03-23,,294230.5908,kg,89.896,PENDING,2023-04-14,HDPE bottle,True,2026-02-28T20:37:29.873698
953492231907076456,B2023-000020,ERP-638532,1115958671608017070,123897802993369418,PILOT,2023-02-13,2027-02-12,2024-02-13,161004.1233,kg,93.6529,PENDING,2023-03-06,Alu/Alu blister,True,2026-02-28T20:37:29.873707
832545058412663691,B2024-000021,ERP-617298,409273405564048327,1090498828547780005,VALIDATION,2024-07-17,2026-07-17,,293965.8981,L,99.6073,QUARANTINE,2024-07-27,HDPE bottle,True,2026-02-28T20:37:29.873716
956741510374269224,B2024-000022,ERP-123681,412635161405846507,612182827333231462,VALIDATION,2024-12-17,2027-12-17,,347770.4044,units,96.3304,QUARANTINE,2024-12-20,Glass vial,True,2026-02-28T20:37:29.873728
878117546470455913,B2021-000023,ERP-403288,777169568485075321,612182827333231462,PILOT,2021-03-15,2025-03-14,,215296.4727,doses,95.9503,QUARANTINE,2021-04-09,Amber glass bottle,True,2026-02-28T20:37:29.873736
930381468116338977,B2025-000024,ERP-183468,260254321549421452,54631159255259265,PILOT,2025-07-15,2027-07-15,,404473.7447,L,85.7168,RELEASED,2025-07-17,PVC/Alu blister,True,2026-02-28T20:37:29.873744
158200614784294645,B2020-000025,ERP-616655,341424379006390637,397507641572828546,PILOT,2020-03-15,2025-03-14,,82237.2986,L,89.0644,PENDING,,Alu/Alu blister,True,2026-02-28T20:37:29.873752
1125566030247661780,B2020-000026,ERP-314920,72759919961922250,172384463309089249,EXHIBIT,2020-12-27,2025-12-26,,167430.2841,doses,95.8579,QUARANTINE,2021-01-16,Glass vial,True,2026-02-28T20:37:29.873761
501816526472515281,B2023-000027,ERP-694961,308688047858770432,19632869490552304,COMMERCIAL,2023-08-13,2028-08-11,2025-08-12,270847.6725,units,99.8903,PENDING,2023-08-15,Amber glass bottle,True,2026-02-28T20:37:29.873771
16246473994024951,B2026-000028,ERP-766385,98076733317837972,467373117589015664,EXHIBIT,2026-07-04,2029-07-03,2029-07-03,68534.3007,doses,86.4828,RELEASED,2026-07-21,Amber glass bottle,True,2026-02-28T20:37:29.873781
9806455246841295,B2024-000029,ERP-208359,721849617163586457,54631159255259265,EXHIBIT,2024-02-18,2027-02-17,2026-02-17,335676.4572,L,97.1279,QUARANTINE,2024-03-11,PVC/Alu blister,True,2026-02-28T20:37:29.873793
1113901386018717047,B2021-000030,ERP-756890,678979901546780529,172384463309089249,COMMERCIAL,2021-03-23,2026-03-22,2024-03-22,85321.4815,units,86.6703,QUARANTINE,2021-04-06,Alu/Alu blister,True,2026-02-28T20:37:29.873803
190863731533420289,B2020-000031,ERP-666121,672607827146275495,652713864818073742,VALIDATION,2020-04-27,2025-04-26,,79111.1993,units,100.5433,RELEASED,2020-05-01,PVC/Alu blister,True,2026-02-28T20:37:29.873811
139542509382116565,B2023-000032,ERP-497146,1001535106285661004,547473128815303591,REGISTRATION,2023-01-13,2025-01-12,,373880.366,kg,89.3179,RELEASED,2023-01-15,Amber glass bottle,True,2026-02-28T20:37:29.873926
940493729204887049,B2024-000033,ERP-640612,581644705723486982,352630313262767873,DEVELOPMENT,2024-04-17,2026-04-17,2026-04-17,297941.2238,L,98.3045,PENDING,,Prefilled syringe,True,2026-02-28T20:37:29.873937
328977213030568180,B2026-000034,ERP-836530,562360097007820089,317572024261877103,DEVELOPMENT,2026-01-20,2029-01-19,2029-01-19,490905.528,kg,86.6896,PENDING,2026-02-06,Amber glass bottle,True,2026-02-28T20:37:29.873947
560075721091505751,B2022-000035,ERP-485457,708096735863034662,349700393308997088,REGISTRATION,2022-08-15,2026-08-14,,351588.6498,kg,89.7247,PENDING,2022-08-16,Prefilled syringe,True,2026-02-28T20:37:29.873956
231829497689217334,B2026-000036,ERP-536129,200314406484225505,587823240306444353,PILOT,2026-12-02,2030-12-01,,12154.4346,doses,96.9982,PENDING,,Glass vial,True,2026-02-28T20:37:29.873965
672847179156922355,B2020-000037,ERP-918340,989807159967157914,994180550334117185,REGISTRATION,2020-12-21,2022-12-21,2023-12-21,259474.5458,kg,100.9765,PENDING,2021-01-09,Alu/Alu blister,True,2026-02-28T20:37:29.873975
