instrument_key,instrument_id,instrument_name,instrument_type,serial_number,manufacturer,qualification_status,calibration_due_date,location,is_active,load_timestamp
419405573087634217,INST-00001,Waters KF 4473,KF,SN-191134,Waters,PENDING_PQ,2027-01-13,"Lab 8, Room 107",True,2026-02-28T06:26:33.799726
662798918047054311,INST-00002,Malvern BALANCE 7677,BALANCE,SN-799948,Malvern,PENDING_OQ,2027-09-18,"Lab 12, Room 171",True,2026-02-28T06:26:33.799736
1106750907213388936,INST-00003,Shimadzu DISSOLUTION 1671,DISSOLUTION,SN-836056,Shimadzu,QUALIFIED,2025-10-09,"Lab 20, Room 478",True,2026-02-28T06:26:33.799747
460562253295880479,INST-00004,PerkinElmer PH_METER 6865,PH_METER,SN-195250,PerkinElmer,PENDING_OQ,2027-03-02,"Lab 20, Room 300",True,2026-02-28T06:26:33.799754
954052111270041897,INST-00005,Bruker GC 9647,GC,SN-797902,Bruker,PENDING_OQ,2025-02-01,"Lab 19, Room 469",True,2026-02-28T06:26:33.799760
21550931674082387,INST-00006,PerkinElmer PH_METER 3876,PH_METER,SN-528225,PerkinElmer,PENDING_OQ,2025-10-15,"Lab 13, Room 179",True,2026-02-28T06:26:33.799769
293681986077394285,INST-00007,Mettler Toledo KF 7912,KF,SN-586475,Mettler Toledo,PENDING_OQ,2027-02-24,"Lab 16, Room 419",True,2026-02-28T06:26:33.799775
881019260544540684,INST-00008,Mettler Toledo GC 7347,GC,SN-956760,Mettler Toledo,PENDING_OQ,2025-04-09,"Lab 2, Room 283",True,2026-02-28T06:26:33.799786
514303535472713562,INST-00009,Bruker DISSOLUTION 9033,DISSOLUTION,SN-771682,Bruker,PENDING_PQ,2025-05-02,"Lab 7, Room 256",True,2026-02-28T06:26:33.799793
829762376257162864,INST-00010,Waters KF 2147,KF,SN-825865,Waters,QUALIFIED,2025-03-17,"Lab 8, Room 251",True,2026-02-28T06:26:33.799802
479069707948181663,INST-00011,Thermo Fisher PH_METER 8030,PH_METER,SN-678898,Thermo Fisher,PENDING_OQ,2025-03-08,"Lab 5, Room 386",True,2026-02-28T06:26:33.799808
380389034690288363,INST-00012,Malvern GC 8515,GC,SN-472766,Malvern,PENDING_OQ,2025-07-05,"Lab 10, Room 297",True,2026-02-28T06:26:33.799815
753293949039315296,INST-00013,Shimadzu UV_VIS 5715,UV_VIS,SN-572215,Shimadzu,PENDING_PQ,2025-07-06,"Lab 6, Room 243",True,2026-02-28T06:26:33.799823
718405367413769035,INST-00014,Waters PSD 8195,PSD,SN-293990,Waters,PENDING_OQ,2027-03-12,"Lab 18, Room 323",True,2026-02-28T06:26:33.799829
792341292999668321,INST-00015,Bruker IR 6793,IR,SN-924641,Bruker,PENDING_PQ,2026-04-19,"Lab 8, Room 406",True,2026-02-28T06:26:33.799835
779221444381400770,INST-00016,Bruker PSD 2230,PSD,SN-622821,Bruker,PENDING_OQ,2027-04-04,"Lab 12, Room 471",True,2026-02-28T06:26:33.799841
950648914554717007,INST-00017,Waters KF 2440,KF,SN-529315,Waters,PENDING_PQ,2025-11-30,"Lab 4, Room 439",True,2026-02-28T06:26:33.799847
658155318970375730,INST-00018,Agilent PH_METER 9489,PH_METER,SN-935160,Agilent,QUALIFIED,2025-10-22,"Lab 19, Room 348",True,2026-02-28T06:26:33.799852
663801869112865267,INST-00019,Thermo Fisher PH_METER 5166,PH_METER,SN-233357,Thermo Fisher,QUALIFIED,2027-11-09,"Lab 3, Room 298",True,2026-02-28T06:26:33.799858
136084280160677515,INST-00020,Sotax DISSOLUTION 7177,DISSOLUTION,SN-293724,Sotax,PENDING_PQ,2025-05-27,"Lab 20, Room 372",True,2026-02-28T06:26:33.799864
25737259809570193,INST-00021,Mettler Toledo PH_METER 8311,PH_METER,SN-261219,Mettler Toledo,PENDING_PQ,2025-03-24,"Lab 4, Room 313",True,2026-02-28T06:26:33.799869
773453482403613528,INST-00022,Sotax KF 8926,KF,SN-109862,Sotax,QUALIFIED,2027-01-16,"Lab 14, Room 303",True,2026-02-28T06:26:33.799877
691705965438876332,INST-00023,Mettler Toledo PH_METER 6685,PH_METER,SN-457222,Mettler Toledo,QUALIFIED,2026-02-06,"Lab 10, Room 449",True,2026-02-28T06:26:33.799884
1098620914548987587,INST-00024,Waters KF 5990,KF,SN-382449,Waters,PENDING_PQ,2027-11-10,"Lab 15, Room 122",True,2026-02-28T06:26:33.799890
1012394135606835197,INST-00025,Sotax UV_VIS 5798,UV_VIS,SN-318142,Sotax,PENDING_OQ,2027-09-01,"Lab 14, Room 239",True,2026-02-28T06:26:33.799896
849387058073241611,INST-00026,Malvern GC 2365,GC,SN-893858,Malvern,QUALIFIED,2027-11-26,"Lab 18, Room 325",True,2026-02-28T06:26:33.799902
