laboratory_key,laboratory_id,laboratory_name,laboratory_type,site_key,accreditation_status,is_active,load_timestamp
872072747535939172,LAB-0001,QC Lab B - Taiwan Plant 2,MICROBIOLOGY,327217897043323182,GMP_COMPLIANT,True,2026-02-28T20:37:29.924187
1015648324836240230,LAB-0002,QC Lab C - Brazil Plant 5,R_AND_D,766016181409944976,ISO_17025,True,2026-02-28T20:37:29.924191
834385012284209600,LAB-0003,QC Lab D - Brazil Plant 23,QC,54631159255259265,PENDING,True,2026-02-28T20:37:29.924194
301068766819917658,LAB-0004,QC Lab E - Italy Plant 21,R_AND_D,114246666796624147,GMP_COMPLIANT,True,2026-02-28T20:37:29.924197
1120249733257915420,LAB-0005,QC Lab F - Poland Plant 14,CONTRACT,547473128815303591,GLP,True,2026-02-28T20:37:29.924204
1034333242633047622,LAB-0006,QC Lab G - United Kingdom Plant,CONTRACT,785882248787823823,PENDING,True,2026-02-28T20:37:29.924210
78126737192249377,LAB-0007,QC Lab H - United States Plant ,STABILITY,723297155562110187,GLP,True,2026-02-28T20:37:29.924213
638755115184861326,LAB-0008,QC Lab I - Spain Plant 33,CRO,28990666482691588,PENDING,True,2026-02-28T20:37:29.924219
808630125959573689,LAB-0009,QC Lab J - Mexico Plant 27,CRO,1090498828547780005,GMP_COMPLIANT,True,2026-02-28T20:37:29.924222
757125064929072587,LAB-0010,QC Lab K - Brazil Plant 5,R_AND_D,766016181409944976,ISO_17025,True,2026-02-28T20:37:29.924225
1103911707399431002,LAB-0011,QC Lab L - Netherlands Plant 13,CONTRACT,612182827333231462,ISO_17025,True,2026-02-28T20:37:29.924228
832871680602539892,LAB-0012,QC Lab M - Taiwan Plant 28,QC,612600359045210181,ISO_17025,True,2026-02-28T20:37:29.924231
468233491264813561,LAB-0013,QC Lab N - Sweden Plant 6,MICROBIOLOGY,413331060368526253,PENDING,True,2026-02-28T20:37:29.924233
734402302728984651,LAB-0014,QC Lab O - Mexico Plant 27,CONTRACT,1090498828547780005,PENDING,True,2026-02-28T20:37:29.924235
871914351090306124,LAB-0015,QC Lab P - Germany Plant 25,MICROBIOLOGY,721739277798666228,PENDING,True,2026-02-28T20:37:29.924238
352846516208522724,LAB-0016,QC Lab Q - Netherlands Plant 13,CONTRACT,612182827333231462,PENDING,True,2026-02-28T20:37:29.924240
688904266829394516,LAB-0017,QC Lab R - United Kingdom Plant,CRO,467373117589015664,GLP,True,2026-02-28T20:37:29.924243
359713412387525010,LAB-0018,QC Lab S - Netherlands Plant 1,MICROBIOLOGY,46167523976552872,PENDING,True,2026-02-28T20:37:29.924249
494479690625422735,LAB-0019,QC Lab T - Netherlands Plant 13,R_AND_D,612182827333231462,GMP_COMPLIANT,True,2026-02-28T20:37:29.924251
146596794401644684,LAB-0020,QC Lab U - India Plant 30,STABILITY,1063877619515961722,ISO_17025,True,2026-02-28T20:37:29.924254
366601192612627645,LAB-0021,QC Lab V - United Kingdom Plant,R_AND_D,467373117589015664,GMP_COMPLIANT,True,2026-02-28T20:37:29.924256
818505651746963833,LAB-0022,QC Lab W - Taiwan Plant 28,CRO,612600359045210181,GMP_COMPLIANT,True,2026-02-28T20:37:29.924258
826268810899279017,LAB-0023,QC Lab X - Netherlands Plant 1,CONTRACT,46167523976552872,ISO_17025,True,2026-02-28T20:37:29.924261
1044161081148760351,LAB-0024,QC Lab Y - Israel Plant 39,CRO,317572024261877103,GLP,True,2026-02-28T20:37:29.924263
57671216602046577,LAB-0025,QC Lab Z - Spain Plant 19,R_AND_D,1114374057383523306,PENDING,True,2026-02-28T20:37:29.924268
930058126702341729,LAB-0026,QC Lab A - Singapore Plant 4,CRO,79239146133907914,PENDING,True,2026-02-28T20:37:29.924271
125319802570211504,LAB-0027,QC Lab B - Poland Plant 14,STABILITY,547473128815303591,PENDING,True,2026-02-28T20:37:29.924273
127939875858833361,LAB-0028,QC Lab C - Taiwan Plant 2,R_AND_D,327217897043323182,ISO_17025,True,2026-02-28T20:37:29.924276
399295757438713132,LAB-0029,QC Lab D - Italy Plant 9,R_AND_D,123897802993369418,PENDING,True,2026-02-28T20:37:29.924278
