market_key,market_code,market_name,country_code,country_name,region_code,region_name,regulatory_authority,primary_pharmacopoeia,market_status,marketing_auth_number,is_active,load_timestamp
713914735956176051,DE,Germany,DE,Germany,EU,EU,EMA,EP,APPROVED,MA-DE-28162,True,2026-02-28T20:37:29.695662
432276672472724223,JP,Japan,JP,Japan,JP,JP,PMDA,JP,APPROVED,MA-JP-20552,True,2026-02-28T20:37:29.695668
1130563994191591813,CN,China,CN,China,CN,CN,NMPA,ChP,APPROVED,MA-CN-63578,True,2026-02-28T20:37:29.695671
717353280968687793,GB,United Kingdom,GB,United Kingdom,EU,EU,EMA,EP,APPROVED,MA-GB-42760,True,2026-02-28T20:37:29.695674
840331597385216703,FR,France,FR,France,EU,EU,EMA,EP,PENDING,MA-FR-71854,True,2026-02-28T20:37:29.695678
809932346083823820,IN,India,IN,India,ROW,ROW,,USP,APPROVED,MA-IN-12977,True,2026-02-28T20:37:29.695681
1152813234676593434,BR,Brazil,BR,Brazil,ROW,ROW,,USP,APPROVED,MA-BR-95736,True,2026-02-28T20:37:29.695684
151224252208255654,CH,Switzerland,CH,Switzerland,EU,EU,EMA,EP,APPROVED,MA-CH-35301,True,2026-02-28T20:37:29.695691
268484554233295199,IT,Italy,IT,Italy,EU,EU,EMA,EP,PENDING,MA-IT-41367,True,2026-02-28T20:37:29.695695
510218675243733257,CA,Canada,CA,Canada,US,US,FDA,USP,PENDING,MA-CA-36186,True,2026-02-28T20:37:29.695702
556594667284305129,AU,Australia,AU,Australia,ROW,ROW,,USP,FILED,,True,2026-02-28T20:37:29.695706
880098768958337359,KR,South Korea,KR,South Korea,ROW,ROW,,USP,APPROVED,MA-KR-37132,True,2026-02-28T20:37:29.695709
4150961011720645,MX,Mexico,MX,Mexico,US,US,FDA,USP,APPROVED,MA-MX-42118,True,2026-02-28T20:37:29.695712
691862151663912276,ES,Spain,ES,Spain,EU,EU,EMA,EP,APPROVED,MA-ES-41704,True,2026-02-28T20:37:29.695715
1084898903644199868,NL,Netherlands,NL,Netherlands,EU,EU,EMA,EP,PENDING,MA-NL-75564,True,2026-02-28T20:37:29.695718
624061991745648713,SE,Sweden,SE,Sweden,EU,EU,EMA,EP,APPROVED,MA-SE-53418,True,2026-02-28T20:37:29.695720
79438863500997711,DK,Denmark,DK,Denmark,EU,EU,EMA,EP,PENDING,,True,2026-02-28T20:37:29.695723
1005634818862496797,IE,Ireland,IE,Ireland,EU,EU,EMA,EP,APPROVED,,True,2026-02-28T20:37:29.695725
134681485612096117,SG,Singapore,SG,Singapore,ROW,ROW,,USP,APPROVED,MA-SG-63260,True,2026-02-28T20:37:29.695729
180079035177217696,IL,Israel,IL,Israel,ROW,ROW,,USP,APPROVED,MA-IL-60504,True,2026-02-28T20:37:29.695732
297951977983551548,BE,Belgium,BE,Belgium,EU,EU,EMA,EP,APPROVED,MA-BE-44082,True,2026-02-28T20:37:29.695737
760111678575971204,AT,Austria,AT,Austria,EU,EU,EMA,EP,APPROVED,,True,2026-02-28T20:37:29.695740
837476206580645380,PL,Poland,PL,Poland,EU,EU,EMA,EP,APPROVED,MA-PL-80014,True,2026-02-28T20:37:29.695743
1045047908631349298,ZA,South Africa,ZA,South Africa,ROW,ROW,,USP,APPROVED,MA-ZA-17836,True,2026-02-28T20:37:29.695746
719017896462535156,AR,Argentina,AR,Argentina,ROW,ROW,,USP,FILED,MA-AR-15230,True,2026-02-28T20:37:29.695749
719834040361105234,TW,Taiwan,TW,Taiwan,ROW,ROW,,USP,FILED,MA-TW-77051,True,2026-02-28T20:37:29.695752
680573631773592303,MY,Malaysia,MY,Malaysia,ROW,ROW,,USP,APPROVED,MA-MY-26260,True,2026-02-28T20:37:29.695755
869990322986917753,TH,Thailand,TH,Thailand,ROW,ROW,,USP,APPROVED,,True,2026-02-28T20:37:29.695757
225472403720219151,PH,Philippines,PH,Philippines,ROW,ROW,,USP,FILED,MA-PH-85997,True,2026-02-28T20:37:29.695760
646216603064030264,US,United States,US,United States,US,US,FDA,USP,APPROVED,MA-US-58033,True,2026-02-28T20:37:29.695762
