material_key,material_id,material_name,material_type_code,material_type_name,cas_number,molecular_formula,molecular_weight,inn_name,compendial_name,pharmacopoeia_grade,grade,supplier_name,retest_period_months,storage_requirements,is_active,load_timestamp
1033205609697701374,MAT-00001,Material-00001,INTERMEDIATE,Intermediate,163331-48-0,,,,Material-00001,USP,pharmaceutical,Gattefosse,24,Store at 2-8C,True,2026-02-28T06:26:33.562861
594020718111089699,MAT-00002,Material-00002,INTERMEDIATE,Intermediate,492039-78-0,,,,Material-00002,IN_HOUSE,pharmaceutical,MSN Labs,48,Store at -20C,True,2026-02-28T06:26:33.562870
394980315648892990,MAT-00003,Material-00003,INTERMEDIATE,Intermediate,9626-65-4,,,,Material-00003,ACS,pharmaceutical,Colorcon,12,Protect from light,True,2026-02-28T06:26:33.562876
868737529655618828,MAT-00004,Material-00004,INTERMEDIATE,Intermediate,197781-62-8,,,,Material-00004,NF,pharmaceutical,DFE Pharma,24,Store below 30C,True,2026-02-28T06:26:33.562882
48785840701933717,MAT-00005,Material-00005,RAW_MATERIAL,Raw Material,772974-92-6,,,,Material-00005,NF,pharmaceutical,Colorcon,36,Store below 25C,True,2026-02-28T06:26:33.562888
462919448475652975,MAT-00006,Material-00006,PACKAGING,Packaging Material,655748-40-8,,,,Material-00006,ACS,pharmaceutical,Dr. Reddy's,36,Store at 2-8C,True,2026-02-28T06:26:33.562894
1015171003435523145,MAT-00007,Material-00007,RAW_MATERIAL,Raw Material,779065-78-4,,,,Material-00007,NF,pharmaceutical,Colorcon,12,Store below 30C,True,2026-02-28T06:26:33.562899
946879807680652057,MAT-00008,Material-00008,EXCIPIENT,Excipient,303712-24-7,,,,Material-00008,ACS,pharmaceutical,Roquette,36,Store in dry place,True,2026-02-28T06:26:33.562913
945767708238024279,MAT-00009,Material-00009,REFERENCE_STD,Reference Standard,515945-34-5,,,,Material-00009,USP,pharmaceutical,Evonik,12,Protect from light,True,2026-02-28T06:26:33.562922
870069631782951053,MAT-00010,Amoxicillin,API,Active Pharmaceutical Ingredient,107291-46-4,Br3C5H,642.9375,Amoxicillin,Amoxicillin,JP,pharmaceutical,DFE Pharma,36,Store at -20C,True,2026-02-28T06:26:33.562981
765749244023156434,MAT-00011,Material-00011,INTERMEDIATE,Intermediate,486258-99-0,,,,Material-00011,JP,pharmaceutical,BASF,24,Store below 25C,True,2026-02-28T06:26:33.562996
1006168480140912494,MAT-00012,Material-00012,INTERMEDIATE,Intermediate,813381-60-1,,,,Material-00012,ACS,pharmaceutical,Roquette,24,Store below 30C,True,2026-02-28T06:26:33.563005
864795533862704939,MAT-00013,Material-00013,INTERMEDIATE,Intermediate,856999-58-0,,,,Material-00013,USP,pharmaceutical,Dr. Reddy's,24,Store at -20C,True,2026-02-28T06:26:33.563012
801961740035881751,MAT-00014,Material-00014,PACKAGING,Packaging Material,259218-14-3,,,,Material-00014,NF,pharmaceutical,Teva API,12,Protect from light,True,2026-02-28T06:26:33.563018
888633605022348339,MAT-00015,Material-00015,RAW_MATERIAL,Raw Material,218622-70-6,,,,Material-00015,IN_HOUSE,pharmaceutical,Ashland,36,Store below 30C,True,2026-02-28T06:26:33.563023
976037050749936950,MAT-00016,Material-00016,RAW_MATERIAL,Raw Material,763661-15-8,,,,Material-00016,ACS,pharmaceutical,BASF,36,Store at -20C,True,2026-02-28T06:26:33.563028
741691316534821688,MAT-00017,Material-00017,RAW_MATERIAL,Raw Material,313378-35-5,,,,Material-00017,USP,pharmaceutical,Aurobindo,24,Store below 25C,True,2026-02-28T06:26:33.563033
7160522964926666,MAT-00018,Material-00018,EXCIPIENT,Excipient,663703-65-5,,,,Material-00018,USP,pharmaceutical,Evonik,36,Protect from light,True,2026-02-28T06:26:33.563038
937358749498734477,MAT-00019,Tamsulosin,API,Active Pharmaceutical Ingredient,827527-41-0,Br12N25,198.4279,Tamsulosin,Tamsulosin,EP,pharmaceutical,Roquette,12,Store in dry place,True,2026-02-28T06:26:33.563053
