product_key,product_id,product_name,inn_name,brand_name,product_family,dosage_form_code,dosage_form_name,route_of_administration,strength,strength_value,strength_uom,therapeutic_area,nda_number,shelf_life_months,storage_conditions,container_closure_system,is_active,load_timestamp
609573546344569451,PROD-00001,Cetuximab 5 mg Immediate-Release Tablet,Cetuximab,,Cetuximab,TAB,Immediate-Release Tablet,TOPICAL,5 mg,5.0,mg,CNS,NDA-809570,24,Protect from light,Alu/Alu blister,True,2026-02-28T06:26:33.559149
671827691903923436,PROD-00002,Metformin 25 mg Film-Coated Tablet,Metformin,,Metformin,TAB,Film-Coated Tablet,SC,25 mg,25.0,mg,Ophthalmology,,36,Store in dry place,Amber glass bottle,True,2026-02-28T06:26:33.559167
88348692886148293,PROD-00003,Dulaglutide 50 mg/mL Oral Solution,Dulaglutide,DULABRAND-36,Dulaglutide,SOL,Oral Solution,SC,50 mg/mL,50.0,mg/mL,Nephrology,NDA-895667,36,Store in dry place,Alu/Alu blister,True,2026-02-28T06:26:33.559180
343165652349251370,PROD-00004,Valsartan 100 mg Hard Gelatin Capsule,Valsartan,VALSBRAND-44,Valsartan,CAP,Hard Gelatin Capsule,SC,100 mg,100.0,mg,Cardiology,,24,Store at 2-8C,LDPE bag,True,2026-02-28T06:26:33.559189
1057303164690916694,PROD-00005,Duloxetine 1 g Oral Suspension,Duloxetine,DULOBRAND-69,Duloxetine,SUS,Oral Suspension,ORAL,1 g,1.0,g,Cardiology,NDA-496922,24,Protect from light,PVC/Alu blister,True,2026-02-28T06:26:33.559198
678979901546780529,PROD-00006,Cetuximab 10 mg/mL Oral Suspension,Cetuximab,CETUBRAND-6,Cetuximab,SUS,Oral Suspension,SC,10 mg/mL,10.0,mg/mL,Dermatology,NDA-403445,24,Store below 30C,LDPE bag,True,2026-02-28T06:26:33.559210
747269768765687397,PROD-00007,Losartan 1 g Solution for Injection,Losartan,LOSABRAND-47,Losartan,INJ,Solution for Injection,OPHTHALMIC,1 g,1.0,g,CNS,NDA-319684,48,Store in dry place,Amber glass bottle,True,2026-02-28T06:26:33.559218
486891240366752372,PROD-00008,Insulin Glargine 300 IU/mL Immediate-Release Tablet,Insulin Glargine,INSUBRAND-32,Insulin Glargine,TAB,Immediate-Release Tablet,IM,300 IU/mL,300.0,IU/mL,CNS,NDA-383060,36,Store in dry place,PVC/Alu blister,True,2026-02-28T06:26:33.559234
123071373020326592,PROD-00009,Alogliptin 10 mg Transdermal Patch,Alogliptin,ALOGBRAND-41,Alogliptin,PATCH,Transdermal Patch,SC,10 mg,10.0,mg,Respiratory,NDA-321231,48,Store below 30C,Amber glass bottle,True,2026-02-28T06:26:33.559247
461112678842663258,PROD-00010,Sitagliptin 0.5% Solution for Injection,Sitagliptin,,Sitagliptin,INJ,Solution for Injection,IM,0.5%,,mg,Immunology,NDA-665158,48,Store in dry place,Prefilled syringe,True,2026-02-28T06:26:33.559255
