site_key,site_id,site_code,site_name,site_type,address_line,city,state_province,country_code,country_name,regulatory_region,gmp_status,gmp_certificate_number,fda_fei_number,last_inspection_date,last_inspection_outcome,is_active,load_timestamp
46167523976552872,SITE-0001,SNL-001,Netherlands Plant 1,CRO,704 Industrial Blvd,City-1,State-1,NL,Netherlands,EMA,APPROVED,GMP-NL-37851,,2024-08-25,NAI,True,2026-02-28T06:26:33.570750
327217897043323182,SITE-0002,STW-002,Taiwan Plant 2,CMO,724 Industrial Blvd,City-2,State-2,TW,Taiwan,,PENDING,GMP-TW-22559,,2024-03-04,VAI,True,2026-02-28T06:26:33.570764
918112986228691303,SITE-0003,SCA-003,Canada Plant 3,QC_TESTING,410 Industrial Blvd,City-3,State-3,CA,Canada,FDA,APPROVED,GMP-CA-47118,,2025-10-13,NAI,True,2026-02-28T06:26:33.570774
79239146133907914,SITE-0004,SSG-004,Singapore Plant 4,CMO,547 Industrial Blvd,City-4,State-4,SG,Singapore,,APPROVED,GMP-SG-55464,,2024-09-27,NAI,True,2026-02-28T06:26:33.570782
766016181409944976,SITE-0005,SBR-005,Brazil Plant 5,CRO,183 Industrial Blvd,City-5,State-5,BR,Brazil,,PENDING,GMP-BR-58382,,2024-01-12,NAI,True,2026-02-28T06:26:33.570789
413331060368526253,SITE-0006,SSE-006,Sweden Plant 6,MANUFACTURING,626 Industrial Blvd,City-6,State-6,SE,Sweden,EMA,APPROVED,GMP-SE-20127,,2025-08-15,VAI,True,2026-02-28T06:26:33.570796
467373117589015664,SITE-0007,SGB-007,United Kingdom Plant 7,CMO,193 Industrial Blvd,City-7,State-7,GB,United Kingdom,EMA,APPROVED,GMP-GB-37686,,2023-09-11,NAI,True,2026-02-28T06:26:33.570802
114090057959650911,SITE-0008,SJP-008,Japan Plant 8,PACKAGING,394 Industrial Blvd,City-8,State-8,JP,Japan,PMDA,PENDING,GMP-JP-65798,,2022-11-05,NAI,True,2026-02-28T06:26:33.570815
123897802993369418,SITE-0009,SIT-009,Italy Plant 9,CMO,692 Industrial Blvd,City-9,State-9,IT,Italy,EMA,APPROVED,GMP-IT-14564,,2023-06-19,NAI,True,2026-02-28T06:26:33.570823
150366354319377942,SITE-0010,SFR-010,France Plant 10,QC_TESTING,408 Industrial Blvd,City-10,State-10,FR,France,EMA,APPROVED,GMP-FR-70938,,2022-06-19,NAI,True,2026-02-28T06:26:33.570836
1130895423210570657,SITE-0011,SBE-011,Belgium Plant 11,MANUFACTURING,672 Industrial Blvd,City-11,State-11,BE,Belgium,EMA,APPROVED,GMP-BE-11602,,2022-11-26,NAI,True,2026-02-28T06:26:33.570843
785882248787823823,SITE-0012,SGB-012,United Kingdom Plant 12,CRO,520 Industrial Blvd,City-12,State-12,GB,United Kingdom,EMA,APPROVED,GMP-GB-99954,,2024-07-20,NAI,True,2026-02-28T06:26:33.570850
612182827333231462,SITE-0013,SNL-013,Netherlands Plant 13,CMO,433 Industrial Blvd,City-13,State-13,NL,Netherlands,EMA,APPROVED,GMP-NL-49708,,2024-05-20,NAI,True,2026-02-28T06:26:33.570856
547473128815303591,SITE-0014,SPL-014,Poland Plant 14,MANUFACTURING,619 Industrial Blvd,City-14,State-14,PL,Poland,EMA,APPROVED,GMP-PL-75806,,2024-02-03,NAI,True,2026-02-28T06:26:33.570863
1046740813346471167,SITE-0015,SAT-015,Austria Plant 15,PACKAGING,865 Industrial Blvd,City-15,State-15,AT,Austria,EMA,APPROVED,GMP-AT-24637,,2023-01-02,NAI,True,2026-02-28T06:26:33.570870
212293228681572212,SITE-0016,SDK-016,Denmark Plant 16,CMO,892 Industrial Blvd,City-16,State-16,DK,Denmark,EMA,APPROVED,GMP-DK-29711,,2022-01-15,NAI,True,2026-02-28T06:26:33.570876
1011726151622241361,SITE-0017,SPH-017,Philippines Plant 17,CRO,265 Industrial Blvd,City-17,State-17,PH,Philippines,,PENDING,GMP-PH-77488,,2025-06-12,NAI,True,2026-02-28T06:26:33.570884
