spec_key,source_specification_id,spec_number,spec_version,spec_title,spec_type_code,spec_type_name,product_key,material_key,site_key,market_key,status_code,status_name,stage_code,stage_name,ctd_section,compendia_reference,effective_start_date,effective_end_date,effective_start_date_key,effective_end_date_key,approval_date,approval_date_key,approver_name,approved_by,supersedes_spec_id,supersedes_spec_key,is_current,valid_from,valid_to,load_timestamp
839918777395100879,SPEC-000001,QC-SPEC-2021-000001,3.1,Saxagliptin Excipient Specification,EXCIP,Excipient,298573309971132249,146812036169565195,994180550334117185,1152813234676593434,SUP,Superseded,CLI,Clinical,3.2.S.4.2,BP,2022-12-19,,20221219,,2022-12-15,20221215,Approver-49,user-16,,,True,2026-02-28T20:37:29.695916,,2026-02-28T20:37:29.695917
168212746507093989,SPEC-000002,QC-SPEC-2022-000002,3.9,Telmisartan Raw Material Specification,RM,Raw Material,908444388079033469,935715948539933241,878250793116557982,719834040361105234,DRA,Draft,CLI,Clinical,3.2.P.5.2,,2025-01-18,,20250118,,2024-12-26,20241226,Approver-3,user-49,,,True,2026-02-28T20:37:29.695945,,2026-02-28T20:37:29.695948
241161733830672501,SPEC-000003,QC-SPEC-2023-000003,3.4,Valsartan Drug Product Specification,DP,Drug Product,287909276226858834,628432485627314884,1046740813346471167,225472403720219151,APP,Approved,COM,Commercial,3.2.P.5.2,EP,2024-02-28,,20240228,,2024-02-09,20240209,Approver-37,user-41,,,True,2026-02-28T20:37:29.695966,,2026-02-28T20:37:29.695967
766490699822387581,SPEC-000004,QC-SPEC-2024-000004,5.4,Canagliflozin Raw Material Specification,RM,Raw Material,520115324443296841,329503725986828100,150366354319377942,1045047908631349298,DRA,Draft,COM,Commercial,3.2.S.4.2,JP,2021-06-10,,20210610,,2021-06-05,20210605,Approver-41,user-15,,,True,2026-02-28T20:37:29.695991,,2026-02-28T20:37:29.695991
810993877335297235,SPEC-000005,QC-SPEC-2025-000005,5.8,Pantoprazole Drug Substance Specification,DS,Drug Substance,886408373396303017,263275556376775738,192968342959973654,713914735956176051,APP,Approved,COM,Commercial,3.2.S.4.2,BP,2022-11-28,,20221128,,2022-11-16,20221116,Approver-40,user-11,,,True,2026-02-28T20:37:29.696011,,2026-02-28T20:37:29.696012
1099413194129929530,SPEC-000006,QC-SPEC-2026-000006,4.2,Clopidogrel Raw Material Specification,RM,Raw Material,766202068091055949,780275790452224288,114246666796624147,79438863500997711,SUP,Superseded,DEV,Development,3.2.S.4.2,EP,2024-03-13,,20240313,,2024-02-29,20240229,Approver-31,user-25,,,True,2026-02-28T20:37:29.696029,,2026-02-28T20:37:29.696029
955496467421474283,SPEC-000007,QC-SPEC-2020-000007,3.9,Amoxicillin Drug Substance Specification,DS,Drug Substance,821101436058458712,188331052025775392,352630313262767873,1152813234676593434,SUP,Superseded,DEV,Development,3.2.P.5.1,EP,2022-07-07,,20220707,,2022-07-02,20220702,Approver-23,user-32,,,True,2026-02-28T20:37:29.696044,,2026-02-28T20:37:29.696045
144512312174324404,SPEC-000008,QC-SPEC-2021-000008,2.3,Nivolumab Excipient Specification,EXCIP,Excipient,575391546478961226,864795533862704939,290983122066396445,869990322986917753,SUP,Superseded,COM,Commercial,3.2.P.5.2,USP,2025-11-16,,20251116,,2025-10-18,20251018,Approver-26,user-41,,,True,2026-02-28T20:37:29.696080,,2026-02-28T20:37:29.696081
894311032064620416,SPEC-000009,QC-SPEC-2022-000009,1.7,Valsartan Drug Substance Specification,DS,Drug Substance,961207467351915804,448431804506986534,1057351768623314821,1005634818862496797,DRA,Draft,COM,Commercial,3.2.S.4.1,EP,2020-11-21,,20201121,,2020-10-26,20201026,Approver-17,user-48,,,True,2026-02-28T20:37:29.696098,,2026-02-28T20:37:29.696099
860176347951835449,SPEC-000010,QC-SPEC-2023-000010,1.9,Trastuzumab Drug Product Specification,DP,Drug Product,926258573167212873,65841140161987724,1046740813346471167,837476206580645380,SUP,Superseded,COM,Commercial,3.2.P.5.2,,2025-02-11,,20250211,,2025-02-05,20250205,Approver-18,user-6,,,True,2026-02-28T20:37:29.696114,,2026-02-28T20:37:29.696115
