spec_item_key,source_spec_item_id,spec_key,test_method_key,uom_key,test_code,test_name,analyte_code,test_category_code,test_category_name,test_subcategory,criticality,sequence_number,is_required,is_compendial,is_stability_indicating,reporting_type,result_precision,compendia_test_ref,stage_applicability,reporting_threshold,identification_threshold,qualification_threshold,is_current,valid_from,valid_to,load_timestamp
5825160194456867,ITEM-0000001,839918777395100879,1021589744446912506,,FRIA,Friability,FRI,PACK,Packaging,,CCQA,1,False,False,True,TEXT,3,USP <573>,BOTH,,,,True,2026-02-28T06:26:33.608040,,2026-02-28T06:26:33.608041
307652134397296075,ITEM-0000002,839918777395100879,427364020140486646,,HEAV,Heavy Metals,HEA,PACK,Packaging,,KQA,2,True,True,False,REPORT_ONLY,0,,STABILITY,,,,True,2026-02-28T06:26:33.608056,,2026-02-28T06:26:33.608057
92292111102691885,ITEM-0000003,839918777395100879,147691127209483186,,HARD,Hardness,HAR,MIC,Microbiology,,CCQA,3,True,False,False,PASS_FAIL,0,USP <176>,BOTH,,,,True,2026-02-28T06:26:33.608066,,2026-02-28T06:26:33.608067
945347337180704233,ITEM-0000004,839918777395100879,760241540807814791,,CONT,Content Uniformity,CON,CHE,Chemical,,CQA,4,True,True,False,REPORT_ONLY,1,USP <289>,RELEASE,,,,True,2026-02-28T06:26:33.608077,,2026-02-28T06:26:33.608078
1096730211444330830,ITEM-0000005,839918777395100879,980271365163373936,,MOIS,Moisture,MOI,MIC,Microbiology,,CCQA,5,True,False,False,PASS_FAIL,2,,RELEASE,,,,True,2026-02-28T06:26:33.608085,,2026-02-28T06:26:33.608086
579207005377479625,ITEM-0000006,839918777395100879,248064001786552164,,DISS,Dissolution,DIS,IMP,Impurities,,REPORT,6,True,True,True,REPORT_ONLY,2,,BOTH,0.145835,0.458049,0.22144,True,2026-02-28T06:26:33.608102,,2026-02-28T06:26:33.608103
528931968314664041,ITEM-0000007,839918777395100879,838718981836403673,,ASSA,Assay,ASS,MIC,Microbiology,,REPORT,7,True,False,False,PASS_FAIL,1,USP <714>,RELEASE,,,,True,2026-02-28T06:26:33.608173,,2026-02-28T06:26:33.608175
432565379076864113,ITEM-0000008,839918777395100879,615530635296844181,,SPEC,Specific Rotation,SPE,STER,Sterility,,KQA,8,False,False,True,TEXT,2,USP <483>,RELEASE,,,,True,2026-02-28T06:26:33.608188,,2026-02-28T06:26:33.608189
558702722398609997,ITEM-0000009,839918777395100879,302841436930264911,,PART,Particle Size,PAR,BIO,Biological,,NCQA,9,True,True,False,PASS_FAIL,0,,STABILITY,,,,True,2026-02-28T06:26:33.608197,,2026-02-28T06:26:33.608198
1029732629394655895,ITEM-0000010,839918777395100879,475940553501904876,,LOSS,Loss on Drying,LOS,PACK,Packaging,,REPORT,10,True,True,False,REPORT_ONLY,2,USP <325>,STABILITY,,,,True,2026-02-28T06:26:33.608204,,2026-02-28T06:26:33.608208
